,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
85,90,CA,2018-10-09 00:00:00,100,49.72,-86.95,274.15,3.1
86,92,RU,2018-10-09 00:38:54,100,60.87,60.43,276.256,6.66
87,44,LY,2018-10-09 00:38:54,44,27.03,14.43,295.706,4.46
88,0,TR,2018-10-08 23:50:00,81,40.83,35.65,284.15,0.66
89,64,RU,2018-10-09 00:38:55,77,54.43,119.94,272.106,1.86
90,56,RU,2018-10-09 00:45:19,94,70.62,147.9,269.706,2.66
91,75,MU,2018-10-09 00:00:00,88,-20.01,57.66,295.15,4.6
92,0,CL,2018-10-09 00:00:00,82,-29.95,-71.34,287.15,2.1
93,0,RU,2018-10-09 00:46:22,81,71.97,114.09,269.306,2.41
94,0,TL,2018-10-09 00:46:22,47,-8.93,125.41,297.856,0.96
95,92,RU,2018-10-09 00:46:22,90,71.98,102.47,277.006,6.01
96,0,ID,2018-10-09 00:36:52,78,0.54,123.06,300.356,0.71
97,12,NZ,2018-10-09 00:38:58,64,-46.28,169.85,287.506,8.21
98,92,CL,2018-10-09 00:46:24,99,-42.48,-73.76,279.006,6.46
99,40,US,2018-10-08 23:56:00,57,20.89,-156.47,305.35,9.8
100,90,US,2018-10-09 00:13:00,100,41.87,-103.67,275.95,3.1
101,92,RU,2018-10-09 00:43:34,99,69.49,88.39,273.956,2.76
102,24,RU,2018-10-09 00:46:25,91,50.68,156.12,281.506,2.11
103,8,AU,2018-10-09 00:46:26,69,-33.21,138.6,287.756,4.51
104,92,RU,2018-10-09 00:39:01,86,52.47,96.11,271.606,0.86
105,68,RU,2018-10-09 00:39:01,67,55.15,124.74,272.756,2.51
106,20,TT,2018-10-09 00:00:00,88,10.24,-61.45,300.15,2.6
107,80,ID,2018-10-09 00:46:27,98,-7.38,108.21,292.906,1.06
108,40,PT,2018-10-09 00:30:00,83,33.08,-16.33,294.15,2.1
109,75,AU,2018-10-09 00:30:00,87,-43.03,147.26,284.15,10.8
110,20,GW,2018-10-09 00:46:29,100,11.28,-15.83,301.306,3.56
111,75,PW,2018-10-08 23:50:00,74,7.04,134.26,302.15,2.6
112,0,KG,2018-10-09 00:36:19,85,42.49,78.39,270.306,1.51
113,36,PH,2018-10-09 00:46:30,94,11.0,122.67,299.206,3.46
114,24,ID,2018-10-09 00:39:04,84,-7.75,112.01,296.006,3.01
115,1,JP,2018-10-09 00:00:00,72,26.35,127.87,299.15,2.6
116,90,US,2018-10-09 00:00:00,100,39.95,-94.76,292.55,3.1
117,75,US,2018-10-09 00:01:00,79,19.71,-155.08,300.35,6.2
118,88,RU,2018-10-09 00:39:06,97,59.36,143.24,276.506,2.71
119,0,CF,2018-10-09 00:46:32,81,10.3,22.78,295.956,1.31
120,40,ES,2018-10-09 00:30:00,71,41.65,-0.88,286.15,4.1
121,76,NO,2018-10-09 00:39:07,100,70.63,29.72,278.506,10.56
122,88,RU,2018-10-09 00:46:33,95,65.58,-170.99,280.406,6.46
123,68,RU,2018-10-09 00:46:34,100,69.7,170.27,274.256,1.76
124,76,MZ,2018-10-09 00:46:34,97,-23.87,35.38,294.756,5.31
